"m/z","RT","intensity","traceID","envelopeID"
"659.000549","2491.45","5.198735","0","0"
"659.00061","2488.33","1.829615","0","0"
"659.003296","2506.98","1.465141","0","0"
"659.003601","2505.44","1.46515","0","0"
"659.005249","2499.23","5.117155","0","0"
"659.008179","2496.13","6.589533","0","0"
"659.013428","2482.03","2.852348","0","0"
"659.014526","2506.98","1.097056","0","0"
"659.020142","2493.01","8.774672","0","0"
"659.036133","2496.13","14.02587","0","0"
"659.040405","2499.23","25.22385","0","0"
"659.04071","2503.89","24.492968","0","0"
"659.043945","2483.63","30.433559","0","0"
"659.044312","2502.34","29.25494","0","0"
"659.044983","2505.44","13.893931","0","0"
"659.045593","2478.78","29.079071","0","0"
"659.045837","2485.21","38.243801","0","0"
"659.046692","2486.77","40.22591","0","0"
"659.047607","2480.42","42.093224","0","0"
"659.047729","2497.68","41.685848","0","0"
"659.048889","2494.57","39.837749","0","0"
"659.04895","2489.89","39.841434","0","0"
"659.050049","2488.33","37.28817","0","0"
"659.050171","2491.45","43.497314","0","0"
"659.050781","2506.98","28.872396","0","0"
"659.050842","2500.78","38.751556","0","0"
"659.051086","2482.03","40.833431","0","0"
"659.052246","2493.01","35.458725","0","0"
"659.057556","2496.13","13.894154","0","0"
"659.073425","2503.89","6.586289","0","0"
"659.079407","2483.63","11.226897","0","0"
"659.093079","2482.03","1.974825","0","0"
"659.093201","2499.23","5.121142","0","0"
"659.09375","2506.98","3.659505","0","0"
"659.095337","2500.78","3.659504","0","0"
"659.102356","2494.57","3.663157","0","0"
"659.103638","2489.89","4.390328","0","0"
"659.114441","2478.78","4.569918","0","0"
"659.115417","2493.01","9.513412","0","0"
"659.116638","2480.42","2.698442","0","0"
"659.116699","2502.34","3.663198","0","0"
"659.117432","2503.89","7.683629","0","0"
"659.118591","2506.98","6.654365","0","0"
"659.126343","2500.78","5.128514","0","0"
"659.127808","2497.68","3.663229","0","0"
"659.129822","2482.03","2.194314","0","0"
"659.131348","2485.21","1.44353","0","0"
"659.151611","2486.77","4.689012","0","0"
"659.155151","2496.13","6.590261","0","0"
"659.155823","2503.89","5.854019","0","0"
"659.164856","2482.03","4.081523","0","0"
"659.171448","2491.45","1.465338","0","0"
"659.178162","2478.78","4.700708","0","0"
"659.182434","2496.13","4.760602","0","0"
"659.183289","2500.78","2.198025","0","0"
"659.189026","2502.34","7.324914","0","0"
"659.189148","2497.68","5.857787","0","0"
"659.192993","2506.98","8.048634","0","0"
"659.193298","2482.03","3.072173","0","0"
"659.195374","2480.42","2.529931","0","0"
"659.197327","2503.89","8.424092","0","0"
"659.197876","2499.23","2.930733","0","0"
"659.200317","2493.01","5.486055","0","0"
"659.209778","2505.44","8.413206","0","0"
"659.210388","2488.33","2.930753","0","0"
"659.211182","2485.21","1.443618","0","0"
